gaz,liquid_tm,liquid,energy,water,nd,pressure_zad,pressure_buf,d,lin,kvch,сurrent,freq,vol,id
0.0,4.0,28.739175267145036,420.5,84.7628865968436,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.5961443160399797,487
0.0,4.0,28.72319588586688,420.5,84.79381443187594,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.587690707549453,487
0.0,4.0,28.70721650458872,420.5,84.82474226690829,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.5792370990589264,487
0.0,4.0,28.691237123310565,420.5,84.85567010194063,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.5707834905683997,487
0.0,4.0,28.675257742032407,420.5,84.88659793697298,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.562329882077873,487
0.0,4.0,28.65927836075425,420.5,84.91752577200532,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.5538762735873464,487
0.0,4.0,28.643298979476093,420.5,84.94845360703766,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.5454226650968197,487
0.0,4.0,28.627319598197936,420.5,84.97938144207001,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.536969056606293,487
0.0,4.0,28.61134021691978,420.5,85.01030927710235,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.5285154481157663,487
0.0,4.0,28.59536083564162,420.5,85.0412371121347,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.5200618396252397,487
0.0,4.0,28.579381454363464,420.5,85.07216494716704,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.511608231134713,487
0.0,4.0,28.563402073085307,420.5,85.10309278219938,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.5031546226441863,487
0.0,4.0,28.54742269180715,420.5,85.13402061723173,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.4947010141536596,487
0.0,4.0,28.531443310528992,420.5,85.16494845226407,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.486247405663133,487
0.0,4.0,28.515463929250835,420.5,85.19587628729641,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.4777937971726063,487
0.0,4.0,28.499484547972678,420.5,85.22680412232876,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.4693401886820796,487
0.0,4.0,28.48350516669452,420.5,85.2577319573611,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.460886580191553,487
0.0,4.0,28.467525785416363,420.5,85.28865979239345,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.4524329717010263,487
0.0,4.0,28.451546404138206,420.5,85.31958762742579,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.4439793632104996,487
0.0,4.0,28.43556702286005,420.5,85.35051546245813,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.435525754719973,487
0.0,4.0,28.41958764158189,420.5,85.38144329749048,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.4270721462294462,487
0.0,4.0,28.403608260303734,420.5,85.41237113252282,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.4186185377389195,487
0.0,4.0,28.387628879025577,420.5,85.44329896755517,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.410164929248393,487
0.0,4.0,28.37164949774742,420.5,85.47422680258751,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.401711320757866,487
0.0,4.0,28.355670116469263,420.5,85.50515463761985,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.3932577122673395,487
0.0,4.0,28.339690735191105,420.5,85.5360824726522,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.384804103776813,487
0.0,4.0,28.323711353912948,420.5,85.56701030768454,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.376350495286286,487
